origin_id,dest_id,truck_km,truck_duration,drone_km,drone_duration
cust_42,cust_8,25.49,30.59,23.45,23.45
cust_42,cust_47,98.92,118.7,64.43,64.43
cust_42,cust_36,96.48,115.78,79.26,79.26
cust_42,cust_28,44.11,52.93,33.7,33.7
cust_42,cust_11,41.18,49.42,34.15,34.15
cust_42,cust_26,9.84,11.81,7.1,7.1
cust_42,cust_33,77.17,92.6,62.44,62.44
cust_42,cust_44,31.89,38.27,24.22,24.22
cust_42,cust_3,56.33,67.6,45.52,45.52
cust_42,cust_45,58.83,70.6,41.64,41.64
cust_42,cust_40,51.43,61.72,42.99,42.99
cust_42,cust_19,74.05,88.86,58.06,58.06
cust_42,cust_35,103.51,124.21,76.23,76.23
cust_42,cust_12,48.15,57.78,36.17,36.17
cust_42,cust_31,70.01,84.01,53.55,53.55
cust_42,cust_27,29.16,34.99,23.23,23.23
cust_42,cust_17,69.47,83.36,55.04,55.04
cust_42,cust_14,61.83,74.2,47.09,47.09
cust_42,cust_24,30.3,36.36,22.5,22.5
cust_42,cust_30,72.47,86.96,51.75,51.75
cust_42,cust_29,52.8,63.36,39.93,39.93
cust_42,cust_10,30.1,36.12,25.05,25.05
cust_42,cust_9,34.51,41.41,29.52,29.52
cust_42,cust_50,110.91,133.09,80.14,80.14
cust_42,cust_46,84.16,100.99,61.69,61.69
cust_42,cust_16,66.44,79.73,54.1,54.1
cust_42,cust_15,66.31,79.57,51.15,51.15
cust_25,depot,30.58,36.7,25.59,25.59
cust_25,cust_42,17.09,20.51,14.85,14.85
cust_25,cust_21,51.31,61.57,35.78,35.78
cust_25,cust_13,35.72,42.86,28.96,28.96
cust_25,cust_20,58.33,70.0,43.65,43.65
cust_25,cust_7,20.89,25.07,14.5,14.5
cust_25,cust_1,59.48,71.38,43.57,43.57
cust_25,cust_18,66.73,80.08,48.22,48.22
cust_25,cust_5,34.4,41.28,24.08,24.08
cust_25,cust_38,65.11,78.13,47.23,47.23
cust_25,cust_43,40.45,48.54,29.08,29.08
cust_25,cust_32,66.37,79.64,52.38,52.38
cust_25,cust_48,81.37,97.64,62.18,62.18
cust_25,cust_39,49.91,59.89,36.5,36.5
cust_25,cust_23,29.92,35.9,21.34,21.34
cust_25,cust_22,48.56,58.27,34.93,34.93
cust_25,cust_2,49.87,59.84,38.61,38.61
cust_25,cust_34,65.33,78.4,50.26,50.26
cust_25,cust_37,69.23,83.08,52.82,52.82
cust_25,cust_6,29.25,35.1,20.81,20.81
cust_25,cust_49,82.81,99.37,69.02,69.02
cust_25,cust_41,31.58,37.9,21.98,21.98
cust_25,cust_4,43.09,51.71,28.76,28.76
cust_25,cust_8,9.17,11.0,8.64,8.64
cust_25,cust_47,70.55,84.66,57.52,57.52
cust_25,cust_36,80.17,96.2,64.42,64.42
cust_25,cust_28,39.12,46.94,31.3,31.3
cust_25,cust_11,28.06,33.67,22.25,22.25
cust_25,cust_26,15.93,19.12,13.03,13.03
cust_25,cust_33,60.86,73.03,49.43,49.43
cust_25,cust_44,48.84,58.61,31.82,31.82
cust_25,cust_3,40.01,48.01,30.84,30.84
cust_25,cust_45,56.95,68.34,43.03,43.03
cust_25,cust_40,46.85,56.22,36.72,36.72
cust_25,cust_19,57.74,69.29,43.22,43.22
cust_25,cust_35,87.2,104.64,61.48,61.48
cust_25,cust_12,35.03,42.04,24.86,24.86
cust_25,cust_31,56.6,67.92,44.33,44.33
cust_25,cust_27,24.17,29.0,17.93,17.93
cust_25,cust_17,53.15,63.78,41.19,41.19
cust_25,cust_14,48.42,58.1,36.39,36.39
cust_25,cust_24,17.48,20.98,13.32,13.32
cust_25,cust_30,59.06,70.87,44.46,44.46
cust_25,cust_29,45.45,54.54,34.96,34.96
cust_25,cust_10,16.69,20.03,14.6,14.6
cust_25,cust_9,18.19,21.83,16.21,16.21
cust_25,cust_50,94.59,113.51,66.35,66.35
cust_25,cust_46,78.59,94.31,57.84,57.84
cust_25,cust_16,50.12,60.14,41.34,41.34
cust_25,cust_15,49.99,59.99,39.0,39.0
cust_21,depot,42.54,51.05,27.36,27.36
cust_21,cust_42,66.58,79.9,49.96,49.96
cust_21,cust_25,51.31,61.57,35.78,35.78
cust_21,cust_13,50.73,60.88,36.07,36.07
cust_21,cust_20,18.43,22.12,12.24,12.24
cust_21,cust_7,39.51,47.41,24.0,24.0
cust_21,cust_1,28.9,34.68,26.06,26.06
cust_21,cust_18,36.15,43.38,29.24,29.24
cust_21,cust_5,23.44,28.13,15.17,15.17
cust_21,cust_38,19.58,23.5,12.06,12.06
cust_21,cust_43,90.21,108.25,64.56,64.56
cust_21,cust_32,61.38,73.66,49.29,49.29
cust_21,cust_48,76.37,91.64,64.31,64.31
cust_21,cust_39,37.87,45.44,23.01,23.01
cust_21,cust_23,24.39,29.27,15.02,15.02
cust_21,cust_22,13.38,16.06,7.54,7.54
cust_21,cust_2,23.21,27.85,20.18,20.18
cust_21,cust_34,42.51,51.01,35.83,35.83
cust_21,cust_37,23.7,28.44,17.13,17.13
cust_21,cust_6,28.51,34.21,21.38,21.38
cust_21,cust_49,73.12,87.74,57.01,57.01
cust_21,cust_41,52.83,63.4,47.23,47.23
cust_21,cust_4,14.67,17.6,10.01,10.01
cust_21,cust_8,44.49,53.39,28.43,28.43
cust_21,cust_47,88.18,105.82,67.26,67.26
cust_21,cust_36,40.18,48.22,33.76,33.76
cust_21,cust_28,77.6,93.12,56.45,56.45
cust_21,cust_11,48.09,57.71,34.12,34.12
cust_21,cust_26,64.72,77.66,48.72,48.72
cust_21,cust_33,55.86,67.03,40.03,40.03
cust_21,cust_44,98.6,118.32,65.81,65.81
cust_21,cust_3,22.54,27.05,18.38,18.38
cust_21,cust_45,97.54,117.05,70.23,70.23
cust_21,cust_40,44.02,52.82,33.32,33.32
cust_21,cust_19,24.06,28.87,17.22,17.22
cust_21,cust_35,48.49,58.19,34.29,34.29
cust_21,cust_12,55.06,66.07,36.33,36.33
cust_21,cust_31,62.39,74.87,51.51,51.51
cust_21,cust_27,64.97,77.96,45.33,45.33
cust_21,cust_17,36.03,43.24,29.92,29.92
cust_21,cust_14,52.35,62.82,42.38,42.38
cust_21,cust_24,37.68,45.22,29.87,29.87
cust_21,cust_30,71.78,86.14,56.62,56.62
cust_21,cust_29,72.97,87.56,54.99,54.99
cust_21,cust_10,56.57,67.88,37.18,37.18
cust_21,cust_9,42.56,51.07,30.12,30.12
cust_21,cust_50,64.77,77.72,47.97,47.97
cust_21,cust_46,100.93,121.12,74.29,74.29
cust_21,cust_16,45.13,54.16,36.61,36.61
cust_21,cust_15,45.0,54.0,38.26,38.26
cust_13,depot,11.4,13.68,8.8,8.8
cust_13,cust_42,52.04,62.45,40.67,40.67
cust_13,cust_25,35.72,42.86,28.96,28.96
cust_13,cust_21,50.73,60.88,36.07,36.07
cust_13,cust_20,48.92,58.7,35.04,35.04
cust_13,cust_7,27.76,33.31,19.8,19.8
cust_13,cust_1,35.69,42.83,23.51,23.51
cust_13,cust_18,42.92,51.5,27.12,27.12
cust_13,cust_5,31.28,37.54,21.96,21.96
cust_13,cust_38,63.4,76.08,47.18,47.18
cust_13,cust_43,57.01,68.41,45.18,45.18
cust_13,cust_32,36.17,43.4,23.45,23.45
cust_13,cust_48,51.16,61.39,34.05,34.05
cust_13,cust_39,63.45,76.14,51.75,51.75
cust_13,cust_23,36.53,43.84,31.32,31.32
cust_13,cust_22,53.79,64.55,40.87,40.87
cust_13,cust_2,31.92,38.3,22.6,22.6
cust_13,cust_34,35.5,42.6,25.54,25.54
cust_13,cust_37,67.53,81.04,50.35,50.35
cust_13,cust_6,20.66,24.79,16.6,16.6
cust_13,cust_49,52.6,63.12,41.0,41.0
cust_13,cust_41,62.75,75.3,50.88,50.88
cust_13,cust_4,34.83,41.8,26.2,26.2
cust_13,cust_8,29.25,35.1,22.88,22.88
cust_13,cust_47,48.77,58.52,32.64,32.64
cust_13,cust_36,62.21,74.65,48.62,48.62
cust_13,cust_28,31.31,37.57,24.45,24.45
cust_13,cust_11,15.12,18.14,6.72,6.72
cust_13,cust_26,44.95,53.94,34.73,34.73
cust_13,cust_33,31.03,37.24,22.34,22.34
cust_13,cust_44,53.26,63.91,41.82,41.82
cust_13,cust_3,31.22,37.46,18.49,18.49
cust_13,cust_45,51.25,61.5,37.52,37.52
cust_13,cust_40,69.6,83.52,57.43,57.43
cust_13,cust_19,40.14,48.17,30.09,30.09
cust_13,cust_35,57.37,68.84,42.91,42.91
cust_13,cust_12,8.43,10.12,4.56,4.56
cust_13,cust_31,27.09,32.51,17.23,17.23
cust_13,cust_27,27.23,32.68,20.3,20.3
cust_13,cust_17,29.36,35.23,17.85,17.85
cust_13,cust_14,15.33,18.4,7.98,7.98
cust_13,cust_24,48.64,58.37,37.51,37.51
cust_13,cust_30,37.27,44.72,20.81,20.81
cust_13,cust_29,26.68,32.02,20.19,20.19
cust_13,cust_10,23.6,28.32,15.62,15.62
cust_13,cust_9,17.53,21.04,13.3,13.3
cust_13,cust_50,64.76,77.71,41.02,41.02
cust_13,cust_46,59.82,71.78,38.25,38.25
cust_13,cust_16,20.29,24.35,13.94,13.94
cust_13,cust_15,17.04,20.45,10.52,10.52
cust_20,depot,48.38,58.06,27.44,27.44
cust_20,cust_42,72.9,87.48,58.42,58.42
cust_20,cust_25,58.33,70.0,43.65,43.65
cust_20,cust_21,18.43,22.12,12.24,12.24
cust_20,cust_13,48.92,58.7,35.04,35.04
cust_20,cust_7,46.53,55.84,29.84,29.84
cust_20,cust_1,22.08,26.5,17.46,17.46
cust_20,cust_18,27.88,33.46,19.26,19.26
cust_20,cust_5,28.28,33.94,19.8,19.8
cust_20,cust_38,18.65,22.38,15.32,15.32
cust_20,cust_43,96.25,115.5,71.13,71.13
cust_20,cust_32,59.57,71.48,42.25,42.25
cust_20,cust_48,74.56,89.47,57.69,57.69
cust_20,cust_39,58.33,70.0,34.94,34.94
cust_20,cust_23,31.41,37.69,25.21,25.21
cust_20,cust_22,30.05,36.06,19.48,19.48
cust_20,cust_2,15.85,19.02,13.52,13.52
cust_20,cust_34,38.2,45.84,26.54,26.54
cust_20,cust_37,22.77,27.32,16.14,16.14
cust_20,cust_6,34.49,41.39,24.89,24.89
cust_20,cust_49,56.43,67.72,46.77,46.77
cust_20,cust_41,73.29,87.95,58.09,58.09
cust_20,cust_4,20.65,24.78,14.9,14.9
cust_20,cust_8,51.51,61.81,35.34,35.34
cust_20,cust_47,86.37,103.64,62.89,62.89
cust_20,cust_36,28.58,34.3,21.99,21.99
cust_20,cust_28,81.62,97.94,58.3,58.3
cust_20,cust_11,52.11,62.53,35.41,35.41
cust_20,cust_26,71.74,86.09,55.97,55.97
cust_20,cust_33,43.74,52.49,31.96,31.96
cust_20,cust_44,97.97,117.56,71.03,71.03
cust_20,cust_3,21.92,26.3,16.91,16.91
cust_20,cust_45,101.56,121.87,71.94,71.94
cust_20,cust_40,64.48,77.38,45.49,45.49
cust_20,cust_19,7.63,9.16,6.95,6.95
cust_20,cust_35,36.42,43.7,22.05,22.05
cust_20,cust_12,59.08,70.9,36.8,36.8
cust_20,cust_31,60.58,72.7,47.69,47.69
cust_20,cust_27,68.99,82.79,49.19,49.19
cust_20,cust_17,28.33,34.0,23.12,23.12
cust_20,cust_14,50.54,60.65,39.51,39.51
cust_20,cust_24,52.74,63.29,40.42,40.42
cust_20,cust_30,69.96,83.95,53.93,53.93
cust_20,cust_29,76.99,92.39,55.17,55.17
cust_20,cust_10,60.59,72.71,41.1,41.1
cust_20,cust_9,46.73,56.08,33.7,33.7
cust_20,cust_50,48.07,57.68,36.62,36.62
cust_20,cust_46,99.12,118.94,71.76,71.76
cust_20,cust_16,43.31,51.97,30.89,30.89
cust_20,cust_15,43.18,51.82,33.73,33.73
cust_7,depot,22.62,27.14,13.19,13.19
cust_7,cust_42,37.21,44.65,29.28,29.28
cust_7,cust_25,20.89,25.07,14.5,14.5
cust_7,cust_21,39.51,47.41,24.0,24.0
cust_7,cust_13,27.76,33.31,19.8,19.8
cust_7,cust_20,46.53,55.84,29.84,29.84
cust_7,cust_1,43.55,52.26,29.3,29.3
cust_7,cust_18,50.81,60.97,33.96,33.96
cust_7,cust_5,17.26,20.71,10.05,10.05
cust_7,cust_38,53.31,63.97,36.04,36.04
cust_7,cust_43,53.05,63.66,41.34,41.34
cust_7,cust_32,58.41,70.09,41.64,41.64
cust_7,cust_48,73.41,88.09,53.71,53.71
cust_7,cust_39,40.13,48.16,33.18,33.18
cust_7,cust_23,18.12,21.74,13.04,13.04
cust_7,cust_22,36.76,44.11,25.67,25.67
cust_7,cust_2,38.65,46.38,24.13,24.13
cust_7,cust_34,57.37,68.84,36.66,36.66
cust_7,cust_37,57.43,68.92,40.99,40.99
cust_7,cust_6,14.86,17.83,6.43,6.43
cust_7,cust_49,74.85,89.82,56.53,56.53
cust_7,cust_41,47.92,57.5,33.89,33.89
cust_7,cust_4,26.47,31.76,15.28,15.28
cust_7,cust_8,10.88,13.06,5.86,5.86
cust_7,cust_47,70.08,84.1,52.02,52.02
cust_7,cust_36,68.94,82.73,50.04,50.04
cust_7,cust_28,49.61,59.53,33.61,33.61
cust_7,cust_11,20.1,24.12,14.32,14.32
cust_7,cust_26,33.94,40.73,26.17,26.17
cust_7,cust_33,52.89,63.47,36.79,36.79
cust_7,cust_44,56.19,67.43,41.91,41.91
cust_7,cust_3,28.79,34.55,16.37,16.37
cust_7,cust_45,69.55,83.46,47.18,47.18
cust_7,cust_40,46.28,55.54,37.79,37.79
cust_7,cust_19,46.51,55.81,28.81,28.81
cust_7,cust_35,76.78,92.14,46.98,46.98
cust_7,cust_12,27.07,32.48,17.3,17.3
cust_7,cust_31,51.51,61.81,36.96,36.96
cust_7,cust_27,31.03,37.24,21.52,21.52
cust_7,cust_17,45.19,54.23,27.63,27.63
cust_7,cust_14,43.32,51.98,27.77,27.77
cust_7,cust_24,26.6,31.92,18.26,18.26
cust_7,cust_30,58.59,70.31,39.48,39.48
cust_7,cust_29,44.98,53.98,33.9,33.9
cust_7,cust_10,22.43,26.92,13.59,13.59
cust_7,cust_9,10.23,12.28,7.74,7.74
cust_7,cust_50,86.63,103.96,52.59,52.59
cust_7,cust_46,78.12,93.74,55.67,55.67
cust_7,cust_16,42.16,50.59,29.31,29.31
cust_7,cust_15,42.03,50.44,28.0,28.0
cust_1,depot,35.15,42.18,19.49,19.49
cust_1,cust_42,75.79,90.95,57.98,57.98
cust_1,cust_25,59.48,71.38,43.57,43.57
cust_1,cust_21,28.9,34.68,26.06,26.06
cust_1,cust_13,35.69,42.83,23.51,23.51
cust_1,cust_20,22.08,26.5,17.46,17.46
cust_1,cust_7,43.55,52.26,29.3,29.3
cust_1,cust_18,7.25,8.7,4.66,4.66
cust_1,cust_5,29.98,35.98,21.9,21.9
cust_1,cust_38,39.99,47.99,32.7,32.7
cust_1,cust_43,85.54,102.65,66.7,66.7
cust_1,cust_32,39.96,47.95,24.83,24.83
cust_1,cust_48,54.95,65.94,40.29,40.29
cust_1,cust_39,68.81,82.57,48.42,48.42
cust_1,cust_23,41.88,50.26,32.33,32.33
cust_1,cust_22,42.29,50.75,33.41,33.41
cust_1,cust_2,8.28,9.94,6.35,6.35
cust_1,cust_34,13.64,16.37,9.79,9.79
cust_1,cust_37,39.08,46.9,33.34,33.34
cust_1,cust_6,30.19,36.23,22.87,22.87
cust_1,cust_49,43.95,52.74,31.15,31.15
cust_1,cust_41,86.5,103.8,62.7,62.7
cust_1,cust_4,23.79,28.55,20.85,20.85
cust_1,cust_8,45.04,54.05,35.05,35.05
cust_1,cust_47,66.76,80.11,46.35,46.35
cust_1,cust_36,29.01,34.81,25.15,25.15
cust_1,cust_28,68.39,82.07,47.94,47.94
cust_1,cust_11,38.88,46.66,26.96,26.96
cust_1,cust_26,68.71,82.45,53.61,53.61
cust_1,cust_33,22.57,27.08,14.51,14.51
cust_1,cust_44,84.74,101.69,64.53,64.53
cust_1,cust_3,14.77,17.72,13.26,13.26
cust_1,cust_45,88.33,106.0,60.75,60.75
cust_1,cust_40,74.95,89.94,57.67,57.67
cust_1,cust_19,13.56,16.27,10.53,10.53
cust_1,cust_35,30.67,36.8,19.55,19.55
cust_1,cust_12,45.85,55.02,26.96,26.96
cust_1,cust_31,42.08,50.5,31.9,31.9
cust_1,cust_27,55.76,66.91,42.29,42.29
cust_1,cust_17,10.37,12.44,6.62,6.62
cust_1,cust_14,37.31,44.77,25.14,25.14
cust_1,cust_24,60.63,72.76,45.64,45.64
cust_1,cust_30,51.47,61.76,38.86,38.86
cust_1,cust_29,63.76,76.51,43.0,43.0
cust_1,cust_10,47.36,56.83,35.32,35.32
cust_1,cust_9,41.28,49.54,28.88,28.88
cust_1,cust_50,38.06,45.67,23.95,23.95
cust_1,cust_46,79.51,95.41,56.34,56.34
cust_1,cust_16,22.73,27.28,14.49,14.49
cust_1,cust_15,24.69,29.63,18.19,18.19
cust_18,depot,42.41,50.89,23.88,23.88
cust_18,cust_42,83.05,99.66,62.59,62.59
cust_18,cust_25,66.73,80.08,48.22,48.22
cust_18,cust_21,36.15,43.38,29.24,29.24
cust_18,cust_13,42.92,51.5,27.12,27.12
cust_18,cust_20,27.88,33.46,19.26,19.26
cust_18,cust_7,50.81,60.97,33.96,33.96
cust_18,cust_1,7.25,8.7,4.66,4.66
cust_18,cust_5,37.23,44.68,26.43,26.43
cust_18,cust_38,45.79,54.95,34.55,34.55
cust_18,cust_43,92.48,110.98,71.0,71.0
cust_18,cust_32,36.65,43.98,24.4,24.4
cust_18,cust_48,55.45,66.54,39.73,39.73
cust_18,cust_39,76.06,91.27,51.99,51.99
cust_18,cust_23,49.14,58.97,36.65,36.65
cust_18,cust_22,49.54,59.45,36.73,36.73
cust_18,cust_2,15.53,18.64,10.61,10.61
cust_18,cust_34,11.75,14.1,7.43,7.43
cust_18,cust_37,44.88,53.86,34.37,34.37
cust_18,cust_6,37.44,44.93,27.53,27.53
cust_18,cust_49,38.37,46.04,27.81,27.81
cust_18,cust_41,93.76,112.51,67.32,67.32
cust_18,cust_4,31.05,37.26,25.01,25.01
cust_18,cust_8,52.29,62.75,39.71,39.71
cust_18,cust_47,67.26,80.71,47.06,47.06
cust_18,cust_36,29.96,35.95,22.23,22.23
cust_18,cust_28,66.79,80.15,51.38,51.38
cust_18,cust_11,46.13,55.36,31.1,31.1
cust_18,cust_26,75.96,91.15,58.14,58.14
cust_18,cust_33,23.45,28.14,13.65,13.65
cust_18,cust_44,88.74,106.49,68.58,68.58
cust_18,cust_3,22.02,26.42,17.88,17.88
cust_18,cust_45,86.73,104.08,63.87,63.87
cust_18,cust_40,82.21,98.65,61.55,61.55
cust_18,cust_19,20.82,24.98,12.47,12.47
cust_18,cust_35,22.33,26.8,15.85,15.85
cust_18,cust_12,47.58,57.1,30.86,30.86
cust_18,cust_31,45.2,54.24,33.44,33.44
cust_18,cust_27,62.71,75.25,46.43,46.43
cust_18,cust_17,12.04,14.45,9.34,9.34
cust_18,cust_14,38.13,45.76,27.69,27.69
cust_18,cust_24,67.88,81.46,50.2,50.2
cust_18,cust_30,54.58,65.5,40.72,40.72
cust_18,cust_29,62.16,74.59,46.0,46.0
cust_18,cust_10,54.61,65.53,39.67,39.67
cust_18,cust_9,48.53,58.24,33.39,33.39
cust_18,cust_50,32.12,38.54,19.56,19.56
cust_18,cust_46,80.01,96.01,57.79,57.79
cust_18,cust_16,22.62,27.14,16.25,16.25
cust_18,cust_15,27.81,33.37,20.4,20.4
cust_5,depot,24.31,29.17,13.21,13.21
cust_5,cust_42,50.72,60.86,38.93,38.93
cust_5,cust_25,34.4,41.28,24.08,24.08
cust_5,cust_21,23.44,28.13,15.17,15.17
cust_5,cust_13,31.28,37.54,21.96,21.96
cust_5,cust_20,28.28,33.94,19.8,19.8
cust_5,cust_7,17.26,20.71,10.05,10.05
cust_5,cust_1,29.98,35.98,21.9,21.9
cust_5,cust_18,37.23,44.68,26.43,26.43
cust_5,cust_38,37.24,44.69,27.13,27.13
cust_5,cust_43,74.08,88.9,51.38,51.38
cust_5,cust_32,50.28,60.34,39.59,39.59
cust_5,cust_48,65.28,78.34,53.44,53.44
cust_5,cust_39,40.44,48.53,30.5,30.5
cust_5,cust_23,13.52,16.22,11.12,11.12
cust_5,cust_22,22.5,27.0,18.96,18.96
cust_5,cust_2,25.07,30.08,15.91,15.91
cust_5,cust_34,49.24,59.09,30.66,30.66
cust_5,cust_37,41.36,49.63,31.6,31.6
cust_5,cust_6,10.29,12.35,6.22,6.22
cust_5,cust_49,66.72,80.06,51.72,51.72
cust_5,cust_41,55.4,66.48,41.1,41.1
cust_5,cust_4,9.21,11.05,5.46,5.46
cust_5,cust_8,25.23,30.28,15.6,15.6
cust_5,cust_47,77.09,92.51,54.3,54.3
cust_5,cust_36,56.58,67.9,40.37,40.37
cust_5,cust_28,59.38,71.26,41.28,41.28
cust_5,cust_11,29.86,35.83,19.1,19.1
cust_5,cust_26,49.56,59.47,36.18,36.18
cust_5,cust_33,44.76,53.71,32.47,32.47
cust_5,cust_44,75.73,90.88,51.66,51.66
cust_5,cust_3,19.53,23.44,8.83,8.83
cust_5,cust_45,79.32,95.18,55.07,55.07
cust_5,cust_40,46.59,55.91,37.82,37.82
cust_5,cust_19,32.78,39.34,19.25,19.25
cust_5,cust_35,63.2,75.84,37.89,37.89
cust_5,cust_12,36.84,44.21,21.5,21.5
cust_5,cust_31,47.73,57.28,38.57,38.57
cust_5,cust_27,46.75,56.1,30.46,30.46
cust_5,cust_17,37.06,44.47,22.26,22.26
cust_5,cust_14,38.95,46.74,29.13,29.13
cust_5,cust_24,31.87,38.24,23.78,23.78
cust_5,cust_30,57.11,68.53,42.77,42.77
cust_5,cust_29,54.75,65.7,39.99,39.99
cust_5,cust_10,38.35,46.02,22.26,22.26
cust_5,cust_9,24.34,29.21,15.03,15.03
cust_5,cust_50,70.4,84.48,45.84,45.84
cust_5,cust_46,87.89,105.47,60.09,60.09
cust_5,cust_16,34.03,40.84,26.51,26.51
cust_5,cust_15,33.9,40.68,26.73,26.73
cust_38,depot,56.33,67.6,38.67,38.67
cust_38,cust_42,77.49,92.99,60.95,60.95
cust_38,cust_25,65.11,78.13,47.23,47.23
cust_38,cust_21,19.58,23.5,12.06,12.06
cust_38,cust_13,63.4,76.08,47.18,47.18
cust_38,cust_20,18.65,22.38,15.32,15.32
cust_38,cust_7,53.31,63.97,36.04,36.04
cust_38,cust_1,39.99,47.99,32.7,32.7
cust_38,cust_18,45.79,54.95,34.55,34.55
cust_38,cust_5,37.24,44.69,27.13,27.13
cust_38,cust_43,101.11,121.33,76.22,76.22
cust_38,cust_32,74.05,88.86,57.37,57.37
cust_38,cust_48,89.05,106.86,72.76,72.76
cust_38,cust_39,40.28,48.34,25.18,25.18
cust_38,cust_23,36.32,43.58,25.96,25.96
cust_38,cust_22,20.56,24.67,13.23,13.23
cust_38,cust_2,34.5,41.4,28.07,28.07
cust_38,cust_34,56.11,67.33,41.86,41.86
cust_38,cust_37,8.19,9.83,6.16,6.16
cust_38,cust_6,42.31,50.77,33.32,33.32
cust_38,cust_49,74.34,89.21,61.78,61.78
cust_38,cust_41,63.73,76.48,56.09,56.09
cust_38,cust_4,28.47,34.16,21.8,21.8
cust_38,cust_8,58.28,69.94,40.28,40.28
cust_38,cust_47,100.86,121.03,77.16,77.16
cust_38,cust_36,37.14,44.57,30.74,30.74
cust_38,cust_28,96.11,115.33,68.38,68.38
cust_38,cust_11,66.59,79.91,45.84,45.84
cust_38,cust_26,78.51,94.21,60.25,60.25
cust_38,cust_33,62.39,74.87,47.22,47.22
cust_38,cust_44,109.51,131.41,77.76,77.76
cust_38,cust_3,35.21,42.25,28.82,28.82
cust_38,cust_45,116.05,139.26,82.18,82.18
cust_38,cust_40,50.05,60.06,36.38,36.38
cust_38,cust_19,26.28,31.54,22.26,22.26
cust_38,cust_35,45.44,54.53,33.99,33.99
cust_38,cust_12,73.57,88.28,47.88,47.88
cust_38,cust_31,75.06,90.07,61.62,61.62
cust_38,cust_27,83.48,100.18,57.39,57.39
cust_38,cust_17,46.98,56.38,38.0,38.0
